temperature,conc,ratio,res_time,STY,E_factor
100.0,300.0,3.0,1.25,2698.937619686051,0.9849722418291588
100.0,300.0,3.0,1.25,2698.937619686051,0.9849722418291588
100.0,300.0,3.0,1.25,2698.937619686051,0.9849722418291588
108.403,101.2236,2.6529,0.999,695.0753423249886,2.0384163936488138
89.4861,263.7982,3.8351,0.5402,3632.7901122627777,2.478835947229782
67.2864,499.9848,2.2303,1.5253,2743.4606965576013,1.2752833593851023
111.7682,297.8188,1.0,1.4002,1619.6831503764527,0.8123933419563619
71.9256,273.8753,2.1483,1.7292,1111.7014970496605,1.663230719157875
91.0505,236.2957,1.4644,0.5962,1471.0000017734217,3.2515047981849055
89.7442,100.0,4.641,1.02,680.0676770012697,3.2257470954076752
137.1171,372.0532,4.6527,1.6846,2739.31217679681,1.367400904221371
100.9064,394.3561,4.0494,1.0346,4636.503670257852,1.2026572645093547
60.0087,363.5577,2.4961,1.1162,1709.4767332798526,2.843962023944457
98.5436,479.3145,3.3461,1.4043,4209.519957390626,0.9294984920708603
105.7279,374.3512,4.4062,1.3901,3357.719094592521,1.2707869043202968
60.2006,265.071,3.7133,1.5287,1214.3642385942333,2.6211844379124862
140.0,360.9915,3.1573,1.1173,4026.156873814178,0.8450969962790643
121.4186,459.8772,2.6045,1.389,4121.318806573007,0.6578746843340718
107.2595,421.1189,2.1586,1.5194,3291.9709195933233,0.5775529527980053
126.3206,500.0,3.4913,1.1737,5314.209581225972,0.9572054154163654
122.3258,441.5876,2.0016,1.2141,4393.44532676431,0.49580844983285377
114.6778,480.7959,4.568,1.2375,4851.399459312855,1.322645912645696
113.0639,500.0,3.5122,0.8723,7094.400718505601,0.9798459690728997
111.4177,443.8492,3.3625,0.9584,5691.557498721912,0.9419909075160009
111.486,500.0,1.5594,1.0588,5003.809638523229,0.5274020458041673
117.6959,499.9998,2.3253,0.8734,6836.756839048108,0.6284392799667488
116.3362,499.9955,2.7314,0.9319,6571.837617029183,0.7289799552818538
133.304,398.696,3.2299,0.5004,9632.436155036932,0.9274122264865106
107.1926,499.9975,2.8252,0.5146,10297.584348390295,1.0359280716086872
119.1486,500.0,4.465,0.5,12327.429366150736,1.3170774062261252
131.4977,500.0,1.2783,0.5,9094.00106593677,0.6480026416699458
140.0,500.0,1.8775,0.6537,9113.375086416878,0.4720841589285461
