Temperature,Concentration,ConcentrationRatio,Time,STY,E_factor
104.25,400.0,2.02,19.95,2.915894988083699,190.61135685994105
137.75,399.9992,2.54,17.85,26.002715904106154,27.58497755282382
145.75,399.9996,3.86,15.15,57.052702807775155,20.579757459026233
130.25,399.9992,2.34,10.75,16.528343880417225,69.08006420649177
105.75,399.9992,2.26,10.05,3.628507640065375,331.5094605374112
124.25,399.9994,3.58,13.55,17.692267828064388,72.04128066687578
109.25,399.9997,3.46,12.55,6.977715463845567,193.36599210469006
129.25,399.9998,1.14,18.05,7.609054924210573,54.01973763916741
106.25,399.9998,4.06,16.05,6.673741462737001,180.75393885793716
142.75,399.9992,2.78,14.75,36.93305816010412,25.152156554273176
144.25,399.9995,3.02,16.25,42.38430532021424,21.106545140352505
141.75,399.9996,1.02,19.35,13.310511257801481,26.43872637127055
130.75,400.0,3.9,15.55,27.279417239812325,43.3560754902083
108.25,399.9993,4.1,18.55,7.669472323835772,136.9885924819116
114.75,399.9994,4.38,14.65,12.323119699239722,114.06816372284808
