temperature,rate_R1_fwd,rate_R2_fwd
50.0,3.958325992719965e-100,2.4631676916764644e-95
51.000408329930586,3.702999895983687e-98,1.8227094452672812e-93
52.000816659861165,2.910605300825771e-96,1.1435913108352576e-91
53.00122498979175,1.9412655641018482e-94,6.14064087036027e-90
54.00163331972234,1.1087288947036333e-92,2.8464561176376223e-88
55.002041649652924,5.468678871616205e-91,1.1482277836942579e-86
56.0024499795835,2.347853109522837e-89,4.0608787681313306e-85
57.00285830951409,8.838238319129239e-88,1.2679109119714163e-83
58.003266639444675,2.937124524363588e-86,3.517505972794798e-82
59.003674969375254,8.671531669401078e-85,8.723060933969108e-81
60.00408329930584,2.2880056411276963e-83,1.9445865692406632e-79
61.004491629236426,5.425107902173727e-82,3.9172961224834255e-78
62.004899959167005,1.1619747570638994e-80,7.165981757953324e-77
63.00530828909759,2.2590517140681334e-79,1.1958845430256914e-75
64.00571661902818,4.0046934600495773e-78,1.8285061039376855e-74
65.00612494895876,6.5009514645752615e-77,2.5718840659010998e-73
66.00653327888935,9.702590490115257e-76,3.3404268230058256e-72
67.00694160881993,1.3363994008399106e-74,4.0206611831634506e-71
68.00734993875051,1.7047512122138852e-73,4.49982939208732e-70
69.0077582686811,2.0207426033427207e-72,4.6975477475893e-69
70.00816659861168,2.232813293556838e-71,4.587941923233921e-68
71.00857492854226,2.3066110205922618e-70,4.2039558338375726e-67
72.00898325847285,2.2340570745202803e-69,3.6236473378606015e-66
73.00939158840343,2.034055197056732e-68,2.9455879856405066e-65
74.00979991833401,1.745292118973539e-67,2.2634354989962368e-64
75.0102082482646,1.4146229309951443e-66,1.647824603690874e-63
76.01061657819518,1.0855663941176903e-65,1.1390055208795453e-62
77.01102490812576,7.903881623409947e-65,7.490138067557247e-62
78.01143323805636,5.471047879218443e-64,4.694994766534171e-61
79.01184156798693,3.6072802583428366e-63,2.810293618240634e-60
80.01224989791751,2.2696561041118465e-62,1.6091259720189458e-59
81.0126582278481,1.365096779038548e-61,8.828025099018499e-59
82.01306655777869,7.861505116758073e-61,4.6478362212111824e-58
83.01347488770926,4.341781705135764e-60,2.3517853783692133e-57
84.01388321763986,2.303026729469684e-59,1.1453000058364748e-56
85.01429154757044,1.1749430522649985e-58,5.375287401193276e-56
86.01469987750102,5.773123759158397e-58,2.434466670636443e-55
87.01510820743161,2.735541953882914e-57,1.0652679511974619e-54
88.01551653736219,1.2515581363771863e-56,4.508952915054275e-54
89.01592486729277,5.535366160476422e-56,1.8481635232129574e-53
90.01633319722336,2.3692948303008786e-55,7.34374149121451e-53
91.01674152715394,9.825111705648054e-55,2.8317224272307334e-52
92.01714985708452,3.95138520995709e-54,1.0606326800835944e-51
93.01755818701511,1.5427064554168377e-53,3.8624848786491625e-51
94.01796651694569,5.852610350763761e-53,1.3688163682193096e-50
95.01837484687627,2.159441069862475e-52,4.724685965974758e-50
96.01878317680686,7.755953582211996e-52,1.589671161685276e-49
97.01919150673744,2.7138901999151916e-51,5.2178395913276934e-49
98.01959983666802,9.258890727369252e-51,1.6720595467746707e-48
99.02000816659861,3.082248468937488e-50,5.234866222519305e-48
100.0204164965292,1.0019301032123408e-49,1.6023408079341457e-47
101.02082482645977,3.1825464812138617e-49,4.798332096092762e-47
102.02123315639037,9.884940651842894e-49,1.4066662302469603e-46
103.02164148632095,3.004127517461736e-48,4.039481034798923e-46
104.02204981625152,8.938811158283274e-48,1.1369776335360994e-45
105.02245814618212,2.6056736281530025e-47,3.1384726865515526e-45
106.0228664761127,7.445450908291732e-47,8.500877452735869e-45
107.02327480604328,2.0865807066962496e-46,2.260570642571064e-44
108.02368313597387,5.738337005050295e-46,5.904767148955836e-44
109.02409146590446,1.549417690691639e-45,1.5157624703147375e-43
110.02449979583503,4.1095977281693003e-45,3.8256810979933206e-43
111.02490812576562,1.0712415098735429e-44,9.498035318554825e-43
112.02531645569621,2.74558079060243e-44,2.3205838657468926e-42
113.02572478562678,6.922040969936419e-44,5.581919300113283e-42
114.02613311555737,1.7174129611124836e-43,1.322423275534259e-41
115.02654144548795,4.19504818628233e-43,3.0869509866403284e-41
116.02694977541854,1.0092426459459718e-42,7.102758542978065e-41
117.02735810534912,2.392321035776348e-42,1.6114711100144522e-40
118.0277664352797,5.58948291676796e-42,3.6063744167308257e-40
119.0281747652103,1.2876852623283304e-41,7.963819099888653e-40
120.02858309514087,2.926079298724668e-41,1.7358761332925897e-39
121.02899142507145,6.560667906868379e-41,3.735962924336272e-39
122.02939975500205,1.4519047175026803e-40,7.941599854151849e-39
123.02980808493263,3.1724453040460643e-40,1.6678838386629505e-38
124.0302164148632,6.84619963303073e-40,3.461804070342334e-38
125.0306247447938,1.4595988878849814e-39,7.102979005326343e-38
126.03103307472438,3.07518395549217e-39,1.4411146581141609e-37
127.03144140465496,6.404473254750707e-39,2.89195386790766e-37
128.03184973458553,1.3188269640410394e-38,5.741564879484504e-37
129.03225806451613,2.685950582594877e-38,1.128036399728968e-36
130.03266639444672,5.411581848360036e-38,2.1936855679949305e-36
131.0330747243773,1.0788804278723759e-37,4.223625420886728e-36
132.03348305430788,2.128868762262525e-37,8.052939149334159e-36
133.03389138423847,4.1586413077724695e-37,1.5208162551089592e-35
134.03429971416904,8.044120110726274e-37,2.845409903210654e-35
135.03470804409963,1.5410785239267155e-36,5.275315257331181e-35
136.03511637403022,2.924704368964228e-36,9.693365070951925e-35
137.0355247039608,5.4997042234735654e-36,1.7656630830153674e-34
138.03593303389138,1.0249045771070377e-35,3.188822286523093e-34
139.03634136382198,1.8932081805024641e-35,5.7111260200129495e-34
140.03674969375254,3.467095887158005e-35,1.014517583917415e-33
141.03715802368313,6.296007848799201e-35,1.787800637879405e-33
142.03756635361373,1.1338973657915154e-34,3.1258880242701456e-33
143.0379746835443,2.02565887325275e-34,5.423675137324336e-33
144.03838301347488,3.5901770901235043e-34,9.340045119058878e-33
145.03879134340548,6.3138365845208855e-34,1.5966383584936633e-32
146.03919967333604,1.1019646899114181e-33,2.7097661091612865e-32
147.03960800326664,1.9090002897163127e-33,4.566551168531529e-32
148.04001633319723,3.2830203064815856e-33,7.642545201820448e-32
149.0404246631278,5.6057527577808824e-33,1.2704017974317995e-31
150.0408329930584,9.504930620750767e-33,2.097761975197368e-31
151.04124132298898,1.6005852644000938e-32,3.4414417355638354e-31
152.04164965291955,2.677208270837949e-32,5.6098249859169565e-31
153.04205798285014,4.448525445396442e-32,9.087344869708797e-31
154.04246631278073,7.344059679283053e-32,1.4630401200819433e-30
155.0428746427113,1.2047493402728233e-31,2.341306945785356e-30
156.0432829726419,1.9640402273066448e-31,3.724718128559248e-30
157.04369130257248,3.182355530448065e-31,5.8912871121854185e-30
158.04409963250305,5.125565749674397e-31,9.265230417864323e-30
159.04450796243364,8.206890014365514e-31,1.4490316427557524e-29
