temperature,rate_R1_fwd,rate_R1_rev,rate_R2_fwd,rate_R2_rev,rate_R3_fwd,rate_R3_rev,rate_R4_fwd,rate_R4_rev,rate_R5_fwd,rate_R5_rev,rate_R6_fwd,rate_R6_rev,rate_R7_fwd,rate_R7_rev,rate_R8_fwd,rate_R8_rev
1333.5238873009391,18.617950910292695,53854316593754.22,9.253335258324451,1769739620167397.0,4.004274329978296,47098693748722.18,1.2067129525763622,344251061146429.56,2492651157605.2734,1.6197129469880625,6127849764918.648,0.005854831423052721,1038064747209.3663,1.3800269227881035,3007018858446.9595,0.016023787193133472
1334.5242956308698,18.687779776844124,53863223920135.71,9.304403304242872,1765474956939830.5,4.022593217591842,47100127849662.69,1.2146787196060158,343468202773924.4,2498988917127.144,1.6361125582409046,6137252401118.296,0.0059345090113905995,1039803747010.1554,1.393021823797646,3011944844661.6206,0.016245937218987573
1335.5247039608003,18.75779704021101,53872121928575.81,9.35569194579848,1761227062146737.8,4.040975123393307,47101562895407.86,1.2226871026737038,342688316223624.5,2505333189994.414,1.6526553946854747,6146655190781.434,0.00601515672843833,1041543035921.2212,1.4061211782276246,3016871444100.8457,0.016470848726343797
1336.525112290731,18.82800299727048,53881010643633.86,9.407201849934163,1756995849638551.5,4.05942018773391,47102998879072.39,1.2307382724453595,341911386573196.25,2511683965980.1274,1.669342495732962,6156058123390.027,0.00609678493057258,1043282611512.3612,1.4193256724177035,3021798650009.5933,0.016698551902234876
1337.5255206206616,18.89839794808328,53889890078812.88,9.458933688522267,1752781233452303.0,4.077928550364318,47104435789568.47,1.2388324003563238,341137399072421.8,2518041234771.8,1.6861749069609102,6165461187830.652,0.006179404068613675,1045022471465.7393,1.4326359963103976,3026726456309.5356,0.01692907721726209
1338.525928950592,18.968982189325285,53898760244394.016,9.510888131273198,1748583128371861.8,4.09650035184839,47105873621202.1,1.246969658078317,340366339002978.25,2524404985602.8296,1.7031536793567215,6174864373108.115,0.006263024687264419,1046762613363.4512,1.446052842923275,3031654855839.5796,0.017162455421850575
1339.5263372805227,19.039756016437295,53907621150572.02,9.563065849541378,1744401449515511.0,4.115135732740224,47107312361335.16,1.2551502179149248,339598191797083.06,2530775208277.8022,1.7202798704663016,6184267667625.7705,0.006347657427036311,1048503034778.1235,1.459576909149997,3036583842732.8706,0.01739871755924169
1340.5267456104532,19.11071972971716,53916472820008.85,9.61546751717978,1740236112790414.0,4.133834833700996,47108752006837.11,1.2633742525141594,338832942947445.7,2537151892293.4863,1.7375545433358137,6193671060802.622,0.0064333130257201165,1050243733517.2471,1.4732088951912754,3041513410391.041,0.01763789495835815
1341.5271539403839,19.18187362659177,53925315262733.21,9.668093808045699,1736087034431079.2,4.152597794893896,47110192546262.695,1.2716419345695706,338070577997142.9,2543535027278.97,1.7549787667153272,6203074541455.625,0.006520002314798025,1051984707104.5284,1.4869495042556575,3046443552364.5522,0.017880019233179657
1342.5275622703145,19.253218004922054,53934148488687.92,9.720945395970139,1731954131199662.8,4.171424757426479,47111633970819.78,1.2799534377389865,337311082598345.7,2549924602477.6978,1.7725536160479711,6212478098879.279,0.00660773622704837,1053725953206.7585,1.500799443771972,3051374262175.95,0.018125122302481568
